Date,demand
2011-01-29,42
2011-01-30,36
2011-01-31,30
2011-02-01,23
2011-02-02,27
2011-02-03,34
2011-02-04,30
2011-02-05,59
2011-02-06,54
2011-02-07,37
2011-02-08,22
2011-02-09,38
2011-02-10,33
2011-02-11,38
2011-02-12,55
2011-02-13,58
2011-02-14,43
2011-02-15,24
2011-02-16,33
2011-02-17,31
2011-02-18,33
2011-02-19,68
2011-02-20,57
2011-02-21,33
2011-02-22,30
2011-02-23,31
2011-02-24,25
2011-02-25,42
2011-02-26,43
2011-02-27,58
2011-02-28,31
2011-03-01,28
2011-03-02,37
2011-03-03,37
2011-03-04,38
2011-03-05,62
2011-03-06,41
2011-03-07,29
2011-03-08,30
2011-03-09,36
2011-03-10,32
2011-03-11,56
2011-03-12,41
2011-03-13,51
2011-03-14,32
2011-03-15,30
2011-03-16,18
2011-03-17,35
2011-03-18,26
2011-03-19,47
2011-03-20,67
2011-03-21,27
2011-03-22,28
2011-03-23,32
2011-03-24,28
2011-03-25,42
2011-03-26,47
2011-03-27,58
2011-03-28,30
2011-03-29,29
2011-03-30,27
2011-03-31,47
2011-04-01,43
2011-04-02,58
2011-04-03,73
2011-04-04,55
2011-04-05,28
2011-04-06,25
2011-04-07,30
2011-04-08,36
2011-04-09,60
2011-04-10,66
2011-04-11,36
2011-04-12,46
2011-04-13,20
2011-04-14,28
2011-04-15,37
2011-04-16,57
2011-04-17,69
2011-04-18,42
2011-04-19,29
2011-04-20,37
2011-04-21,30
2011-04-22,52
2011-04-23,49
2011-04-24,64
2011-04-25,29
2011-04-26,24
2011-04-27,29
2011-04-28,31
2011-04-29,37
2011-04-30,64
2011-05-01,60
2011-05-02,44
2011-05-03,39
2011-05-04,50
2011-05-05,52
2011-05-06,45
2011-05-07,61
2011-05-08,54
2011-05-09,36
2011-05-10,19
2011-05-11,28
2011-05-12,34
2011-05-13,62
2011-05-14,51
2011-05-15,68
2011-05-16,33
2011-05-17,29
2011-05-18,26
2011-05-19,38
2011-05-20,41
2011-05-21,54
2011-05-22,52
2011-05-23,42
2011-05-24,24
2011-05-25,26
2011-05-26,35
2011-05-27,58
2011-05-28,43
2011-05-29,55
2011-05-30,48
2011-05-31,39
2011-06-01,34
2011-06-02,46
2011-06-03,45
2011-06-04,58
2011-06-05,57
2011-06-06,55
2011-06-07,41
2011-06-08,36
2011-06-09,38
2011-06-10,48
2011-06-11,57
2011-06-12,59
2011-06-13,53
2011-06-14,46
2011-06-15,53
2011-06-16,36
2011-06-17,43
2011-06-18,73
2011-06-19,77
2011-06-20,41
2011-06-21,34
2011-06-22,41
2011-06-23,37
2011-06-24,47
2011-06-25,45
2011-06-26,63
2011-06-27,34
2011-06-28,32
2011-06-29,36
2011-06-30,43
2011-07-01,70
2011-07-02,81
2011-07-03,94
2011-07-04,64
2011-07-05,48
2011-07-06,51
2011-07-07,56
2011-07-08,43
2011-07-09,71
2011-07-10,67
2011-07-11,39
2011-07-12,37
2011-07-13,46
2011-07-14,30
2011-07-15,54
2011-07-16,58
2011-07-17,77
2011-07-18,46
2011-07-19,36
2011-07-20,29
2011-07-21,34
2011-07-22,50
2011-07-23,51
2011-07-24,77
2011-07-25,43
2011-07-26,34
2011-07-27,40
2011-07-28,39
2011-07-29,40
2011-07-30,56
2011-07-31,69
2011-08-01,65
2011-08-02,44
2011-08-03,42
2011-08-04,34
2011-08-05,58
2011-08-06,66
2011-08-07,79
2011-08-08,54
2011-08-09,52
2011-08-10,54
2011-08-11,41
2011-08-12,54
2011-08-13,70
2011-08-14,94
2011-08-15,55
2011-08-16,52
2011-08-17,32
2011-08-18,39
2011-08-19,57
2011-08-20,70
2011-08-21,98
2011-08-22,37
2011-08-23,43
2011-08-24,17
2011-08-25,40
2011-08-26,34
2011-08-27,58
2011-08-28,59
2011-08-29,31
2011-08-30,30
2011-08-31,32
2011-09-01,46
2011-09-02,44
2011-09-03,53
2011-09-04,65
2011-09-05,57
2011-09-06,59
2011-09-07,45
2011-09-08,39
2011-09-09,61
2011-09-10,56
2011-09-11,101
2011-09-12,34
2011-09-13,37
2011-09-14,43
2011-09-15,36
2011-09-16,48
2011-09-17,56
2011-09-18,58
2011-09-19,38
2011-09-20,43
2011-09-21,40
2011-09-22,23
2011-09-23,42
2011-09-24,45
2011-09-25,68
2011-09-26,42
2011-09-27,29
2011-09-28,33
2011-09-29,32
2011-09-30,46
2011-10-01,69
2011-10-02,74
2011-10-03,42
2011-10-04,37
2011-10-05,41
2011-10-06,54
2011-10-07,54
2011-10-08,60
2011-10-09,84
2011-10-10,45
2011-10-11,56
2011-10-12,36
2011-10-13,50
2011-10-14,49
