Date,demand
2011-01-29,98
2011-01-30,85
2011-01-31,47
2011-02-01,56
2011-02-02,51
2011-02-03,60
2011-02-04,63
2011-02-05,96
2011-02-06,95
2011-02-07,93
2011-02-08,44
2011-02-09,60
2011-02-10,52
2011-02-11,91
2011-02-12,133
2011-02-13,108
2011-02-14,50
2011-02-15,98
2011-02-16,59
2011-02-17,56
2011-02-18,86
2011-02-19,97
2011-02-20,104
2011-02-21,58
2011-02-22,90
2011-02-23,77
2011-02-24,67
2011-02-25,86
2011-02-26,125
2011-02-27,98
2011-02-28,42
2011-03-01,75
2011-03-02,64
2011-03-03,66
2011-03-04,98
2011-03-05,104
2011-03-06,114
2011-03-07,85
2011-03-08,64
2011-03-09,68
2011-03-10,75
2011-03-11,79
2011-03-12,128
2011-03-13,110
2011-03-14,84
2011-03-15,101
2011-03-16,80
2011-03-17,86
2011-03-18,105
2011-03-19,125
2011-03-20,142
2011-03-21,62
2011-03-22,81
2011-03-23,84
2011-03-24,83
2011-03-25,70
2011-03-26,99
2011-03-27,105
2011-03-28,54
2011-03-29,53
2011-03-30,61
2011-03-31,80
2011-04-01,94
2011-04-02,108
2011-04-03,86
2011-04-04,69
2011-04-05,75
2011-04-06,84
2011-04-07,65
2011-04-08,73
2011-04-09,115
2011-04-10,129
2011-04-11,83
2011-04-12,58
2011-04-13,102
2011-04-14,96
2011-04-15,92
2011-04-16,103
2011-04-17,113
2011-04-18,81
2011-04-19,86
2011-04-20,81
2011-04-21,78
2011-04-22,110
2011-04-23,132
2011-04-24,112
2011-04-25,85
2011-04-26,48
2011-04-27,73
2011-04-28,70
2011-04-29,93
2011-04-30,105
2011-05-01,113
2011-05-02,69
2011-05-03,75
2011-05-04,75
2011-05-05,75
2011-05-06,82
2011-05-07,101
2011-05-08,137
2011-05-09,92
2011-05-10,65
2011-05-11,64
2011-05-12,72
2011-05-13,100
2011-05-14,87
2011-05-15,78
2011-05-16,75
2011-05-17,78
2011-05-18,49
2011-05-19,81
2011-05-20,82
2011-05-21,126
2011-05-22,97
2011-05-23,97
2011-05-24,80
2011-05-25,91
2011-05-26,105
2011-05-27,102
2011-05-28,110
2011-05-29,88
2011-05-30,85
2011-05-31,51
2011-06-01,99
2011-06-02,94
2011-06-03,129
2011-06-04,116
2011-06-05,113
2011-06-06,80
2011-06-07,72
2011-06-08,66
2011-06-09,105
2011-06-10,90
2011-06-11,98
2011-06-12,117
2011-06-13,106
2011-06-14,95
2011-06-15,82
2011-06-16,95
2011-06-17,103
2011-06-18,122
2011-06-19,120
2011-06-20,68
2011-06-21,71
2011-06-22,61
2011-06-23,89
2011-06-24,80
2011-06-25,115
2011-06-26,103
2011-06-27,67
2011-06-28,72
2011-06-29,88
2011-06-30,86
2011-07-01,132
2011-07-02,98
2011-07-03,98
2011-07-04,96
2011-07-05,91
2011-07-06,77
2011-07-07,89
2011-07-08,94
2011-07-09,110
2011-07-10,123
2011-07-11,79
2011-07-12,78
2011-07-13,94
2011-07-14,91
2011-07-15,104
2011-07-16,110
2011-07-17,93
2011-07-18,76
2011-07-19,54
2011-07-20,81
2011-07-21,67
2011-07-22,93
2011-07-23,128
2011-07-24,129
2011-07-25,84
2011-07-26,81
2011-07-27,84
2011-07-28,56
2011-07-29,108
2011-07-30,143
2011-07-31,130
2011-08-01,112
2011-08-02,97
2011-08-03,102
2011-08-04,110
2011-08-05,144
2011-08-06,147
2011-08-07,171
2011-08-08,94
2011-08-09,102
2011-08-10,100
2011-08-11,102
2011-08-12,146
2011-08-13,153
2011-08-14,171
2011-08-15,117
2011-08-16,122
2011-08-17,108
2011-08-18,106
2011-08-19,171
2011-08-20,204
2011-08-21,192
2011-08-22,123
2011-08-23,110
2011-08-24,130
2011-08-25,105
2011-08-26,127
2011-08-27,172
2011-08-28,193
2011-08-29,116
2011-08-30,101
2011-08-31,95
2011-09-01,144
2011-09-02,147
2011-09-03,177
2011-09-04,88
2011-09-05,138
2011-09-06,105
2011-09-07,117
2011-09-08,106
