Date,demand
2011-01-29,26
2011-01-30,14
2011-01-31,11
2011-02-01,12
2011-02-02,0
2011-02-03,11
2011-02-04,16
2011-02-05,17
2011-02-06,21
2011-02-07,13
2011-02-08,8
2011-02-09,11
2011-02-10,11
2011-02-11,20
2011-02-12,32
2011-02-13,40
2011-02-14,11
2011-02-15,13
2011-02-16,11
2011-02-17,23
2011-02-18,20
2011-02-19,23
2011-02-20,14
2011-02-21,11
2011-02-22,17
2011-02-23,11
2011-02-24,15
2011-02-25,24
2011-02-26,18
2011-02-27,20
2011-02-28,16
2011-03-01,15
2011-03-02,18
2011-03-03,14
2011-03-04,19
2011-03-05,16
2011-03-06,19
2011-03-07,8
2011-03-08,7
2011-03-09,10
2011-03-10,7
2011-03-11,14
2011-03-12,17
2011-03-13,13
2011-03-14,8
2011-03-15,10
2011-03-16,15
2011-03-17,13
2011-03-18,17
2011-03-19,23
2011-03-20,23
2011-03-21,18
2011-03-22,14
2011-03-23,16
2011-03-24,12
2011-03-25,15
2011-03-26,31
2011-03-27,23
2011-03-28,7
2011-03-29,10
2011-03-30,19
2011-03-31,12
2011-04-01,14
2011-04-02,21
2011-04-03,20
2011-04-04,10
2011-04-05,19
2011-04-06,7
2011-04-07,23
2011-04-08,23
2011-04-09,23
2011-04-10,21
2011-04-11,14
2011-04-12,20
2011-04-13,18
2011-04-14,14
2011-04-15,14
2011-04-16,26
2011-04-17,16
2011-04-18,11
2011-04-19,8
2011-04-20,10
2011-04-21,14
2011-04-22,19
2011-04-23,35
2011-04-24,19
2011-04-25,15
2011-04-26,12
2011-04-27,13
2011-04-28,10
2011-04-29,19
2011-04-30,12
2011-05-01,10
2011-05-02,21
2011-05-03,18
2011-05-04,11
2011-05-05,16
2011-05-06,18
2011-05-07,19
2011-05-08,28
2011-05-09,14
2011-05-10,22
2011-05-11,13
2011-05-12,12
2011-05-13,18
2011-05-14,19
2011-05-15,26
2011-05-16,6
2011-05-17,9
2011-05-18,5
2011-05-19,15
2011-05-20,15
2011-05-21,14
2011-05-22,30
2011-05-23,7
2011-05-24,8
2011-05-25,10
2011-05-26,10
2011-05-27,19
2011-05-28,22
2011-05-29,9
2011-05-30,16
2011-05-31,11
2011-06-01,15
2011-06-02,23
2011-06-03,13
2011-06-04,20
2011-06-05,22
2011-06-06,13
2011-06-07,13
2011-06-08,11
2011-06-09,15
2011-06-10,15
2011-06-11,13
2011-06-12,14
2011-06-13,7
2011-06-14,17
2011-06-15,10
2011-06-16,5
2011-06-17,18
2011-06-18,22
2011-06-19,11
2011-06-20,11
2011-06-21,7
2011-06-22,10
2011-06-23,10
2011-06-24,12
2011-06-25,23
2011-06-26,17
2011-06-27,19
2011-06-28,15
2011-06-29,15
2011-06-30,11
2011-07-01,18
2011-07-02,23
2011-07-03,24
2011-07-04,18
2011-07-05,14
2011-07-06,8
2011-07-07,12
2011-07-08,19
2011-07-09,20
2011-07-10,32
2011-07-11,18
2011-07-12,25
2011-07-13,9
2011-07-14,10
2011-07-15,12
2011-07-16,21
2011-07-17,13
2011-07-18,10
2011-07-19,11
2011-07-20,17
2011-07-21,17
2011-07-22,12
2011-07-23,17
2011-07-24,15
2011-07-25,13
2011-07-26,8
2011-07-27,12
2011-07-28,12
2011-07-29,17
2011-07-30,20
2011-07-31,17
2011-08-01,20
2011-08-02,16
2011-08-03,15
2011-08-04,16
2011-08-05,10
2011-08-06,28
2011-08-07,12
2011-08-08,13
2011-08-09,9
2011-08-10,19
2011-08-11,14
2011-08-12,13
2011-08-13,8
2011-08-14,15
2011-08-15,8
2011-08-16,24
2011-08-17,9
2011-08-18,10
2011-08-19,24
2011-08-20,20
2011-08-21,17
2011-08-22,12
2011-08-23,14
2011-08-24,18
2011-08-25,22
2011-08-26,16
2011-08-27,23
2011-08-28,21
2011-08-29,17
2011-08-30,15
2011-08-31,19
2011-09-01,11
2011-09-02,21
2011-09-03,27
2011-09-04,14
2011-09-05,21
2011-09-06,14
2011-09-07,8
2011-09-08,14
2011-09-09,13
2011-09-10,26
2011-09-11,22
2011-09-12,13
2011-09-13,13
2011-09-14,10
2011-09-15,12
2011-09-16,22
2011-09-17,21
2011-09-18,21
2011-09-19,10
2011-09-20,8
2011-09-21,9
2011-09-22,13
2011-09-23,11
2011-09-24,13
2011-09-25,5
2011-09-26,8
2011-09-27,3
2011-09-28,10
2011-09-29,9
2011-09-30,15
2011-10-01,15
2011-10-02,17
2011-10-03,20
2011-10-04,14
2011-10-05,12
2011-10-06,14
2011-10-07,26
2011-10-08,22
2011-10-09,22
2011-10-10,17
2011-10-11,15
2011-10-12,9
2011-10-13,15
2011-10-14,18
2011-10-15,22
2011-10-16,16
2011-10-17,9
2011-10-18,21
2011-10-19,15
2011-10-20,13
2011-10-21,14
2011-10-22,22
2011-10-23,14
2011-10-24,8
2011-10-25,9
2011-10-26,12
2011-10-27,26
2011-10-28,31
2011-10-29,33
2011-10-30,19
2011-10-31,13
2011-11-01,9
2011-11-02,12
2011-11-03,21
2011-11-04,22
2011-11-05,22
2011-11-06,18
2011-11-07,12
2011-11-08,14
2011-11-09,10
2011-11-10,12
2011-11-11,25
2011-11-12,28
2011-11-13,18
2011-11-14,11
2011-11-15,16
2011-11-16,15
2011-11-17,11
2011-11-18,21
2011-11-19,22
2011-11-20,11
2011-11-21,14
2011-11-22,19
2011-11-23,9
2011-11-24,30
2011-11-25,57
2011-11-26,34
2011-11-27,16
2011-11-28,15
2011-11-29,14
2011-11-30,9
2011-12-01,21
2011-12-02,27
2011-12-03,29
2011-12-04,11
2011-12-05,17
2011-12-06,14
2011-12-07,26
2011-12-08,17
2011-12-09,21
2011-12-10,34
2011-12-11,21
2011-12-12,10
2011-12-13,17
2011-12-14,19
2011-12-15,13
2011-12-16,25
2011-12-17,28
2011-12-18,20
2011-12-19,21
2011-12-20,16
2011-12-21,24
2011-12-22,19
2011-12-23,34
