date,quantity
2011-01-29,155
2011-01-30,121
2011-01-31,99
2011-02-01,105
2011-02-02,92
2011-02-03,113
2011-02-04,110
2011-02-05,176
2011-02-06,165
2011-02-07,95
2011-02-08,96
2011-02-09,107
2011-02-10,119
2011-02-11,160
2011-02-12,224
2011-02-13,226
2011-02-14,142
2011-02-15,133
2011-02-16,126
2011-02-17,135
2011-02-18,154
2011-02-19,204
2011-02-20,184
2011-02-21,117
2011-02-22,139
2011-02-23,126
2011-02-24,120
2011-02-25,156
2011-02-26,165
2011-02-27,194
2011-02-28,119
2011-03-01,123
2011-03-02,127
2011-03-03,149
2011-03-04,166
2011-03-05,180
2011-03-06,179
2011-03-07,100
2011-03-08,117
2011-03-09,136
2011-03-10,123
2011-03-11,151
2011-03-12,180
2011-03-13,176
2011-03-14,119
2011-03-15,116
2011-03-16,119
2011-03-17,134
2011-03-18,121
2011-03-19,166
2011-03-20,198
2011-03-21,142
2011-03-22,114
2011-03-23,110
2011-03-24,112
2011-03-25,135
2011-03-26,185
2011-03-27,195
2011-03-28,104
2011-03-29,118
2011-03-30,104
2011-03-31,158
2011-04-01,184
2011-04-02,195
2011-04-03,220
2011-04-04,159
2011-04-05,124
2011-04-06,116
2011-04-07,137
2011-04-08,155
2011-04-09,219
2011-04-10,214
2011-04-11,127
2011-04-12,146
2011-04-13,116
2011-04-14,145
2011-04-15,161
2011-04-16,211
2011-04-17,210
2011-04-18,159
2011-04-19,129
2011-04-20,138
2011-04-21,125
2011-04-22,195
2011-04-23,215
2011-04-24,225
2011-04-25,125
2011-04-26,105
2011-04-27,136
2011-04-28,111
2011-04-29,161
2011-04-30,189
2011-05-01,227
2011-05-02,141
2011-05-03,160
2011-05-04,144
2011-05-05,164
2011-05-06,172
2011-05-07,233
2011-05-08,205
2011-05-09,152
2011-05-10,141
2011-05-11,120
2011-05-12,124
2011-05-13,192
2011-05-14,190
2011-05-15,217
2011-05-16,117
2011-05-17,130
2011-05-18,98
2011-05-19,137
2011-05-20,161
2011-05-21,193
2011-05-22,203
2011-05-23,131
2011-05-24,123
2011-05-25,144
2011-05-26,139
2011-05-27,166
2011-05-28,183
2011-05-29,178
2011-05-30,148
2011-05-31,126
2011-06-01,149
2011-06-02,144
2011-06-03,177
2011-06-04,207
2011-06-05,223
2011-06-06,149
2011-06-07,150
2011-06-08,151
2011-06-09,172
2011-06-10,166
2011-06-11,192
2011-06-12,241
2011-06-13,160
2011-06-14,166
2011-06-15,178
2011-06-16,174
2011-06-17,162
2011-06-18,225
2011-06-19,220
2011-06-20,143
2011-06-21,132
2011-06-22,112
2011-06-23,135
2011-06-24,145
2011-06-25,180
2011-06-26,193
2011-06-27,141
2011-06-28,128
2011-06-29,141
2011-06-30,148
2011-07-01,218
2011-07-02,228
2011-07-03,268
2011-07-04,179
2011-07-05,152
2011-07-06,136
2011-07-07,154
2011-07-08,170
2011-07-09,215
2011-07-10,224
2011-07-11,161
2011-07-12,158
2011-07-13,133
2011-07-14,126
2011-07-15,210
2011-07-16,208
2011-07-17,239
2011-07-18,160
2011-07-19,128
2011-07-20,132
2011-07-21,147
2011-07-22,160
2011-07-23,198
2011-07-24,219
2011-07-25,192
2011-07-26,121
2011-07-27,141
2011-07-28,131
2011-07-29,156
2011-07-30,207
2011-07-31,220
2011-08-01,201
2011-08-02,154
2011-08-03,173
2011-08-04,164
2011-08-05,211
2011-08-06,231
2011-08-07,276
2011-08-08,177
2011-08-09,196
2011-08-10,199
2011-08-11,169
2011-08-12,221
2011-08-13,249
2011-08-14,266
2011-08-15,195
2011-08-16,192
2011-08-17,161
2011-08-18,183
2011-08-19,206
2011-08-20,305
2011-08-21,315
2011-08-22,219
2011-08-23,179
2011-08-24,151
2011-08-25,146
2011-08-26,138
2011-08-27,227
2011-08-28,251
2011-08-29,123
2011-08-30,148
2011-08-31,121
2011-09-01,186
