t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
0,Supplier,0,0,0,0,0,0,EOD
0,Warehouse,60,0,0,0,0,0,EOD
0,Retailer,20,0,0,0,0,0,EOD
1,Supplier,0,0,0,0,0,0,EOD
1,Warehouse,40,0,0,20,0,0,EOD
1,Retailer,10,0,0,20,0,0,EOD
2,Supplier,0,0,0,0,0,0,EOD
2,Warehouse,30,0,0,40,0,0,EOD
2,Retailer,20,0,0,10,0,0,EOD
3,Supplier,0,0,0,0,0,0,EOD
3,Warehouse,40,0,0,30,0,0,EOD
3,Retailer,20,0,0,10,0,0,EOD
4,Supplier,0,0,0,0,0,0,EOD
4,Warehouse,50,0,0,20,0,0,EOD
4,Retailer,20,0,0,10,0,0,EOD
5,Supplier,0,0,0,0,0,0,EOD
5,Warehouse,50,0,0,20,0,0,EOD
5,Retailer,20,0,0,10,0,0,EOD
6,Supplier,0,0,0,0,0,0,EOD
6,Warehouse,50,0,0,20,0,0,EOD
6,Retailer,20,0,0,10,0,0,EOD
7,Supplier,0,0,0,0,0,0,EOD
7,Warehouse,50,0,0,20,0,0,EOD
7,Retailer,20,0,0,10,0,0,EOD
8,Supplier,0,0,0,0,0,0,EOD
8,Warehouse,50,0,0,20,0,0,EOD
8,Retailer,20,0,0,10,0,0,EOD
9,Supplier,0,0,0,0,0,0,EOD
9,Warehouse,50,0,0,20,0,0,EOD
9,Retailer,20,0,0,10,0,0,EOD
10,Supplier,0,0,0,0,0,0,EOD
10,Warehouse,50,0,0,20,0,0,EOD
10,Retailer,20,0,0,10,0,0,EOD
11,Supplier,0,0,0,0,0,0,EOD
11,Warehouse,50,0,0,20,0,0,EOD
11,Retailer,20,0,0,10,0,0,EOD
