t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
0,Supplier,0,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
0,W1,1736,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
0,W2,1849,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
0,R1,588,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
0,R2,481,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
0,R3,1357,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
0,R1,433,0,0,0,0,0,after_demand,0,0,0.0,0.0,0.0,0.0,0.0
0,R2,394,0,0,0,0,0,after_demand,0,0,0.0,0.0,0.0,0.0,0.0
0,R3,1083,0,0,0,0,0,after_demand,0,0,0.0,0.0,0.0,0.0,0.0
0,Supplier,0,0,0,0,0,0,after_shipments,0,0,0.0,0.0,0.0,0.0,0.0
0,W1,1736,0,0,0,0,0,after_shipments,0,0,0.0,0.0,0.0,0.0,0.0
0,W2,1849,0,0,0,0,0,after_shipments,0,0,0.0,0.0,0.0,0.0,0.0
0,R1,433,0,0,0,0,0,after_shipments,0,0,0.0,0.0,0.0,0.0,0.0
0,R2,394,0,0,0,0,0,after_shipments,0,0,0.0,0.0,0.0,0.0,0.0
0,R3,1083,0,0,0,0,0,after_shipments,0,0,0.0,0.0,0.0,0.0,0.0
0,W1,1736,0,0,0,0,0,after_ordering,0,0,0.0,0.0,0.0,0.0,0.0
0,W2,1849,0,0,0,0,0,after_ordering,0,0,0.0,0.0,0.0,0.0,0.0
0,R1,433,0,0,0,155,0,after_ordering,0,0,0.0,0.0,0.0,0.0,0.0
0,R2,394,0,0,0,87,0,after_ordering,0,0,0.0,0.0,0.0,0.0,0.0
0,R3,1083,0,0,0,274,0,after_ordering,0,0,0.0,0.0,0.0,0.0,0.0
0,Supplier,0,0,0,0,0,0,EOD,0,0,32.49,0.0,0.0,0.0,32.49
0,W1,1736,0,0,0,0,0,EOD,0,0,32.49,0.0,0.0,0.0,32.49
0,W2,1849,0,0,0,0,0,EOD,0,0,32.49,0.0,0.0,0.0,32.49
0,R1,433,0,0,0,155,0,EOD,155,155,32.49,0.0,0.0,0.0,32.49
0,R2,394,0,0,0,87,0,EOD,87,87,32.49,0.0,0.0,0.0,32.49
0,R3,1083,0,0,0,274,0,EOD,274,274,32.49,0.0,0.0,0.0,32.49
1,Supplier,0,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
1,W1,1736,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
1,W2,1849,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
1,R1,433,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
1,R2,394,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
1,R3,1083,0,0,0,0,0,after_arrivals,0,0,0.0,0.0,0.0,0.0,0.0
1,R1,312,0,0,0,0,0,after_demand,0,0,0.0,0.0,0.0,0.0,0.0
1,R2,304,0,0,0,0,0,after_demand,0,0,0.0,0.0,0.0,0.0,0.0
1,R3,815,0,0,0,0,0,after_demand,0,0,0.0,0.0,0.0,0.0,0.0
1,Supplier,0,0,0,0,0,0,after_shipments,0,0,0.0,0.0,0.0,0.0,0.0
1,W1,1494,0,0,0,0,0,after_shipments,0,0,0.0,0.0,0.0,0.0,0.0
1,W2,1575,0,0,0,0,0,after_shipments,0,0,0.0,0.0,0.0,0.0,0.0
