t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
0,Supplier,0,0,0,0,0,0,EOD,0,0,32.49,0.0,0.0,0.0,32.49
0,W1,1736,0,0,0,0,0,EOD,0,0,32.49,0.0,0.0,0.0,32.49
0,W2,1849,0,0,0,0,0,EOD,0,0,32.49,0.0,0.0,0.0,32.49
0,R1,433,0,0,0,155,0,EOD,155,155,32.49,0.0,0.0,0.0,32.49
0,R2,394,0,0,0,87,0,EOD,87,87,32.49,0.0,0.0,0.0,32.49
0,R3,1083,0,0,0,274,0,EOD,274,274,32.49,0.0,0.0,0.0,32.49
1,Supplier,0,0,0,0,0,0,EOD,0,0,24.45,0.0,0.0,0.0,24.45
1,W1,1494,0,0,0,242,0,EOD,0,0,24.45,0.0,0.0,0.0,24.45
1,W2,1575,0,0,0,274,0,EOD,0,0,24.45,0.0,0.0,0.0,24.45
1,R1,312,0,0,155,121,0,EOD,121,121,24.45,0.0,0.0,0.0,24.45
1,R2,304,0,0,87,90,0,EOD,90,90,24.45,0.0,0.0,0.0,24.45
1,R3,815,0,0,274,268,0,EOD,268,268,24.45,0.0,0.0,0.0,24.45
2,Supplier,0,0,0,0,0,0,EOD,0,0,19.86,0.0,0.0,0.0,19.86
2,W1,1283,0,0,242,211,0,EOD,0,0,19.86,0.0,0.0,0.0,19.86
2,W2,1307,0,0,274,268,0,EOD,0,0,19.86,0.0,0.0,0.0,19.86
2,R1,213,0,0,276,99,0,EOD,99,99,19.86,0.0,0.0,0.0,19.86
2,R2,228,0,0,177,76,0,EOD,76,76,19.86,0.0,0.0,0.0,19.86
2,R3,662,0,0,542,153,0,EOD,153,153,19.86,0.0,0.0,0.0,19.86
3,Supplier,0,0,0,0,0,0,EOD,0,0,14.219999999999999,0.0,0.0,0.0,14.219999999999999
3,W1,1108,0,0,453,175,0,EOD,0,0,14.219999999999999,0.0,0.0,0.0,14.219999999999999
