t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
0,W1,1736,0,0,0,0,0,EOD
0,W2,1849,0,0,0,0,0,EOD
0,R1,433,0,0,0,155,0,EOD
0,R2,394,0,0,0,87,0,EOD
0,R3,1083,0,0,0,274,0,EOD
1,W1,1494,0,0,0,242,0,EOD
1,W2,1575,0,0,0,274,0,EOD
1,R1,312,0,0,155,121,0,EOD
1,R2,304,0,0,87,90,0,EOD
1,R3,815,0,0,274,268,0,EOD
2,W1,1283,0,0,242,211,0,EOD
2,W2,1307,0,0,274,268,0,EOD
2,R1,213,0,0,276,99,0,EOD
2,R2,228,0,0,177,76,0,EOD
2,R3,662,0,0,542,153,0,EOD
3,W1,1108,0,0,453,175,0,EOD
3,W2,1154,0,0,542,153,0,EOD
3,R1,263,0,0,220,105,155,EOD
3,R2,145,0,0,253,83,0,EOD
3,R3,474,0,0,695,188,0,EOD
4,W1,920,0,0,628,188,0,EOD
4,W2,966,0,0,695,188,0,EOD
4,R1,292,0,0,204,92,121,EOD
4,R2,159,0,0,249,73,87,EOD
4,R3,320,0,0,883,154,0,EOD
5,W1,755,0,0,816,165,0,EOD
5,W2,812,0,0,883,154,0,EOD
5,R1,278,0,0,197,113,99,EOD
5,R2,143,0,0,232,106,90,EOD
5,R3,383,0,0,763,211,274,EOD
6,W1,536,0,0,981,219,0,EOD
6,W2,601,0,0,1037,211,0,EOD
6,R1,273,0,0,205,110,105,EOD
6,R2,128,0,0,262,91,76,EOD
6,R3,447,0,0,706,204,268,EOD
7,W1,577,0,0,958,201,242,EOD
7,W2,397,0,0,1248,204,0,EOD
7,R1,189,0,0,223,176,92,EOD
7,R2,62,0,0,270,149,83,EOD
7,R3,301,0,0,757,299,153,EOD
8,W1,463,0,0,948,325,211,EOD
8,W2,372,0,0,1178,299,274,EOD
8,R1,137,0,0,286,165,113,EOD
8,R2,39,0,0,346,96,73,EOD
8,R3,213,0,0,868,276,188,EOD
9,W1,377,0,0,1098,261,175,EOD
9,W2,364,0,0,1209,276,268,EOD
9,R1,152,0,0,341,95,110,EOD
9,R2,32,0,0,336,113,106,EOD
9,R3,143,0,0,990,224,154,EOD
10,W1,357,0,0,1171,208,188,EOD
10,W2,293,0,0,1332,224,153,EOD
10,R1,232,0,0,260,96,176,EOD
10,R2,17,0,0,358,106,91,EOD
10,R3,170,0,0,1003,184,211,EOD
11,W1,320,0,0,1214,202,165,EOD
11,W2,297,0,0,1368,184,188,EOD
