,Rank,Title,Distributor,Worldwide gross,Year
0,1,Mission: Impossible 2,Paramount,546388105,2000
1,2,Gladiator,Universal,457640427,2000
2,3,Cast Away,20th Century Fox,429632142,2000
3,4,What Women Want,Paramount,374111707,2000
4,5,Dinosaur,Disney,349822765,2000
5,6,How the Grinch Stole Christmas,Universal,345141403,2000
6,7,Meet the Parents,Universal,330444045,2000
7,8,The Perfect Storm,Warner Bros.,328718434,2000
8,9,X-Men,20th Century Fox,296339527,2000
9,10,What Lies Beneath,Universal,291420351,2000
0,1,Harry Potter and the Philosopher's Stone,Warner Bros.,975755371,2001
1,2,The Lord of the Rings: The Fellowship of the Ring,New Line,871530324,2001
2,3,"Monsters, Inc.",Disney,525366597,2001
3,4,Shrek,DreamWorks,484409218,2001
4,5,Ocean's Eleven,Warner Bros.,450717150,2001
5,6,Pearl Harbor,Disney,449220945,2001
6,7,The Mummy Returns,Universal,433013274,2001
7,8,Jurassic Park III,Universal,368780809,2001
8,9,Planet of the Apes,20th Century Fox,362211740,2001
9,10,Hannibal,MGM,351692268,2001
0,1,The Lord of the Rings: The Two Towers,New Line,926047111,2002
1,2,Harry Potter and the Chamber of Secrets,Warner Bros.,879979634,2002
2,3,Spider-Man,Sony,821708551,2002
3,4,Star Wars: Episode II – Attack of the Clones,20th Century Fox,649398328,2002
4,5,Men in Black II,Sony,441818803,2002
5,6,Die Another Day,MGM,431971116,2002
6,7,Signs,Disney,408247917,2002
7,8,Ice Age,20th Century Fox,383257136,2002
8,9,My Big Fat Greek Wedding,IFC Films,368744044,2002
9,10,Minority Report,20th Century Fox,358372926,2002
0,1,The Lord of the Rings: The Return of the King,New Line,1120929521,2003
1,2,Finding Nemo,Disney,867893973,2003
2,3,The Matrix Reloaded,Warner Bros.,742128461,2003
3,4,Pirates of the Caribbean: The Curse of the Black Pearl,Disney,654264015,2003
4,5,Bruce Almighty,Universal,484592874,2003
5,6,The Last Samurai,Warner Bros.,456758981,2003
6,7,Terminator 3: Rise of the Machines,Warner Bros.,433371112,2003
7,8,The Matrix Revolutions,Warner Bros.,427343298,2003
8,9,X2,20th Century Fox,407711549,2003
9,10,Bad Boys II,Sony,273339556,2003
0,1,Shrek 2,DreamWorks,919838758,2004
1,2,Harry Potter and the Prisoner of Azkaban,Warner Bros.,796668549,2004
2,3,Spider-Man 2,Columbia,783766341,2004
3,4,The Incredibles,Disney,633019734,2004
4,5,The Passion of the Christ,Newmarket,611899420,2004
5,6,The Day After Tomorrow,20th Century Fox,544272402,2004
6,7,Meet the Fockers,Universal,516642939,2004
7,8,Troy,Warner Bros.,497409852,2004
8,9,Shark Tale,DreamWorks,367275019,2004
9,10,Ocean's Twelve,Warner Bros.,362744280,2004
0,1,Harry Potter and the Goblet of Fire,Warner Bros.,897911078,2005
1,2,Star Wars: Episode III – Revenge of the Sith,20th Century Fox,848754768,2005
2,3,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Disney,745013115,2005
3,4,War of the Worlds,Paramount / Dreamworks,591745540,2005
4,5,King Kong,Universal,550517357,2005
5,6,Madagascar,Universal,532680671,2005
6,7,Mr. & Mrs. Smith,20th Century Fox,478207520,2005
7,8,Charlie and the Chocolate Factory,Warner Bros.,474968763,2005
8,9,Batman Begins,Warner Bros.,374218673,2005
9,10,Hitch,Sony,368100420,2005
0,1,Pirates of the Caribbean: Dead Man's Chest,Disney,1066179725,2006
1,2,The Da Vinci Code,Sony,758239851,2006
2,3,Ice Age: The Meltdown,20th Century Fox,660940780,2006
3,4,Casino Royale,Sony,599045960,2006
4,5,Night at the Museum,20th Century Fox,574480841,2006
5,6,Cars,Disney,462216280,2006
6,7,X-Men: The Last Stand,20th Century Fox,459359555,2006
7,8,Mission: Impossible III,Paramount,397850012,2006
8,9,Superman Returns,Warner Bros.,391081192,2006
9,10,Happy Feet,Warner Bros.,384335608,2006
0,1,Pirates of the Caribbean: At World's End,Disney,963420425,2007
1,2,Harry Potter and the Order of the Phoenix,Warner Bros.,940885929,2007
2,3,Spider-Man 3,Sony,890871626,2007
3,4,Shrek the Third,Paramount,798958162,2007
4,5,Transformers,Paramount,709709780,2007
5,6,Ratatouille,Disney,620702951,2007
6,7,I Am Legend,Warner Bros.,585349010,2007
7,8,The Simpsons Movie,20th Century Fox,527071022,2007
8,9,National Treasure: Book of Secrets,Disney,457364600,2007
9,10,300,Warner Bros.,456068181,2007
0,1,The Dark Knight,Warner Bros.,997000000,2008
