Customer ID,Gender,Age
100006,M,55
100017,M,49
100021,F,31
100029,M,65
100040,M,50
100045,F,37
100049,M,43
100052,M,36
100064,M,42
100070,M,22
100075,F,39
100083,M,36
100094,F,33
100105,M,41
100115,M,43
100120,F,45
100126,F,45
100133,F,21
100140,M,59
100147,F,20
100157,F,40
100165,F,21
100168,F,44
100171,M,40
100183,M,50
100193,F,36
100205,M,39
100210,F,26
100217,M,38
100221,F,23
100230,F,33
100233,F,24
100242,M,43
100253,F,29
100264,F,33
100267,M,49
100273,F,23
100279,F,35
100282,M,47
100294,M,29
100305,F,43
100313,F,50
100317,M,49
100326,F,28
100336,F,56
100345,F,21
100354,F,52
100365,M,55
100371,M,58
100382,F,27
100391,F,49
100401,M,43
100408,M,29
100413,M,39
100425,M,40
100430,M,32
100438,M,45
100441,F,26
100445,M,28
100452,M,33
100464,F,33
100468,F,41
100472,M,44
100480,F,27
100488,M,34
100497,F,32
100503,M,33
100515,F,28
100519,M,59
100526,M,46
100533,F,21
100543,M,42
100554,F,40
100561,F,27
100568,M,45
100575,M,30
100584,M,48
100592,F,29
100600,M,26
100607,M,48
100613,F,44
100621,M,35
100631,F,37
100640,M,47
100643,F,41
100647,M,44
100659,F,33
100665,M,40
100675,M,26
100680,M,37
100691,M,25
100700,M,58
100704,F,31
100713,F,36
100725,M,44
100732,F,26
100740,M,24
100751,M,54
100758,M,20
100763,F,36
100769,M,38
100775,F,21
100781,M,47
100788,M,30
100799,M,49
100809,F,29
100820,M,23
100826,F,21
100836,F,28
100848,F,37
100856,F,41
100867,F,21
100879,M,34
100885,M,40
100888,M,31
100893,M,36
100900,M,40
100907,M,28
100917,F,42
100927,F,35
100939,F,22
100944,M,48
100953,M,37
100961,M,29
100973,M,32
100977,M,40
100982,F,38
100987,M,43
100992,M,29
101003,M,31
101006,F,43
101014,F,29
101020,M,27
101026,F,31
101035,F,30
101044,M,35
101048,F,33
101057,M,35
101067,F,31
101078,M,32
101086,F,42
101098,M,23
